"BZD-intermediate",".",".",".",".","0.73 (0.11 to  4.76)",".",".",".","."
"4.66 (0.25 to  86.08)","daridorexant",".",".",".","0.49 (0.03 to  8.00)",".",".","0.12 (0.01 to  1.07)","."
"1.42 (0.12 to  16.74)","0.30 (0.02 to   4.57)","doxylamine",".",".","0.38 (0.07 to  2.01)",".",".","1.06 (0.15 to  7.69)","."
"0.49 (0.07 to   3.63)","0.11 (0.01 to   1.10)","0.35 (0.06 to   1.98)","eszopiclone",".","1.48 (0.75 to  2.90)",".",".",".","1.50 (0.25 to  9.14)"
"0.92 (0.03 to  26.50)","0.20 (0.01 to   7.03)","0.64 (0.03 to  16.15)","1.85 (0.10 to  32.82)","lemborexant","0.80 (0.05 to 13.03)",".",".",".","."
"0.73 (0.11 to   4.76)","0.16 (0.02 to   1.46)","0.51 (0.10 to   2.55)","1.48 (0.75 to   2.90)","0.80 (0.05 to  13.03)","placebo","0.67 (0.11 to  4.02)","0.62 (0.27 to  1.39)","1.01 (0.53 to  1.92)","."
"0.49 (0.04 to   6.55)","0.10 (0.01 to   1.84)","0.34 (0.03 to   3.81)","0.99 (0.15 to   6.72)","0.53 (0.02 to  14.77)","0.67 (0.11 to   4.02)","ramelteon",".",".","."
"0.55 (0.07 to   4.15)","0.12 (0.01 to   1.13)","0.39 (0.07 to   2.17)","1.12 (0.41 to   3.03)","0.61 (0.03 to  10.87)","0.76 (0.37 to   1.58)","1.13 (0.16 to   7.86)","zaleplon","1.14 (0.55 to  2.35)","."
"0.73 (0.10 to   5.43)","0.16 (0.02 to   1.38)","0.52 (0.10 to   2.73)","1.49 (0.56 to   3.91)","0.80 (0.05 to  14.28)","1.01 (0.50 to   2.01)","1.50 (0.22 to  10.29)","1.33 (0.67 to   2.61)","zolpidem","."
"0.74 (0.05 to  10.94)","0.16 (0.01 to   3.05)","0.52 (0.04 to   6.41)","1.50 (0.25 to   9.14)","0.81 (0.03 to  24.18)","1.02 (0.15 to   7.00)","1.52 (0.11 to  21.16)","1.34 (0.17 to  10.53)","1.01 (0.13 to   7.85)","zopiclone"
