Separate indirect from direct evidence (SIDE) using back-calculation method

Fixed effects model: 

                      comparison  k prop   nma direct indir.  Diff     z p-value
       BZD-intermediate:BZD-long  5 0.48  0.06  -0.08   0.19 -0.27 -2.20  0.0280
      BZD-intermediate:BZD-short  1 0.35 -0.16  -0.16  -0.16  0.00  0.02  0.9871
   BZD-intermediate:daridorexant  0    0  0.39      .   0.39     .     .       .
 BZD-intermediate:diphenydramine  0    0  0.13      .   0.13     .     .       .
        BZD-intermediate:doxepin  0    0  0.39      .   0.39     .     .       .
     BZD-intermediate:doxylamine  0    0  0.16      .   0.16     .     .       .
    BZD-intermediate:eszopiclone  1 0.07  0.06   0.12   0.06  0.06  0.28  0.7757
    BZD-intermediate:lemborexant  0    0  0.25      .   0.25     .     .       .
      BZD-intermediate:melatonin  0    0  0.48      .   0.48     .     .       .
    BZD-intermediate:mirtazapine  1 1.00 -0.33  -0.33      .     .     .       .
        BZD-intermediate:placebo 13 0.69  0.66   0.73   0.50  0.23  2.51  0.0121
     BZD-intermediate:quetiapine  0    0  0.61      .   0.61     .     .       .
      BZD-intermediate:ramelteon  0    0  0.52      .   0.52     .     .       .
     BZD-intermediate:suvorexant  0    0  0.37      .   0.37     .     .       .
      BZD-intermediate:trazodone  1 0.30  0.18  -0.14   0.32 -0.47 -2.13  0.0329
   BZD-intermediate:trimipramine  1 0.75  0.11   0.28  -0.38  0.65  1.00  0.3184
       BZD-intermediate:zaleplon  0    0  0.45      .   0.45     .     .       .
       BZD-intermediate:zolpidem  3 0.17  0.14  -0.07   0.18 -0.25 -1.88  0.0596
      BZD-intermediate:zopiclone  0    0  0.07      .   0.07     .     .       .
              BZD-long:BZD-short  7 0.47 -0.22  -0.40  -0.06 -0.34 -2.19  0.0283
           BZD-long:daridorexant  0    0  0.33      .   0.33     .     .       .
         BZD-long:diphenydramine  0    0  0.07      .   0.07     .     .       .
                BZD-long:doxepin  0    0  0.33      .   0.33     .     .       .
             BZD-long:doxylamine  0    0  0.10      .   0.10     .     .       .
            BZD-long:eszopiclone  0    0  0.00      .   0.00     .     .       .
            BZD-long:lemborexant  0    0  0.19      .   0.19     .     .       .
              BZD-long:melatonin  0    0  0.42      .   0.42     .     .       .
            BZD-long:mirtazapine  0    0 -0.39      .  -0.39     .     .       .
                BZD-long:placebo 12 0.60  0.60   0.58   0.63 -0.05 -0.47  0.6360
             BZD-long:quetiapine  0    0  0.55      .   0.55     .     .       .
              BZD-long:ramelteon  0    0  0.46      .   0.46     .     .       .
             BZD-long:suvorexant  0    0  0.31      .   0.31     .     .       .
              BZD-long:trazodone  0    0  0.12      .   0.12     .     .       .
           BZD-long:trimipramine  0    0  0.05      .   0.05     .     .       .
               BZD-long:zaleplon  0    0  0.39      .   0.39     .     .       .
               BZD-long:zolpidem  0    0  0.08      .   0.08     .     .       .
              BZD-long:zopiclone  4 0.33  0.01   0.08  -0.02  0.10  0.67  0.5020
          BZD-short:daridorexant  0    0  0.55      .   0.55     .     .       .
        BZD-short:diphenydramine  0    0  0.29      .   0.29     .     .       .
               BZD-short:doxepin  0    0  0.56      .   0.56     .     .       .
            BZD-short:doxylamine  0    0  0.32      .   0.32     .     .       .
           BZD-short:eszopiclone  0    0  0.23      .   0.23     .     .       .
           BZD-short:lemborexant  0    0  0.41      .   0.41     .     .       .
             BZD-short:melatonin  0    0  0.65      .   0.65     .     .       .
           BZD-short:mirtazapine  0    0 -0.16      .  -0.16     .     .       .
               BZD-short:placebo  3 0.12  0.82   0.82   0.82 -0.01 -0.04  0.9695
            BZD-short:quetiapine  0    0  0.77      .   0.77     .     .       .
             BZD-short:ramelteon  0    0  0.69      .   0.69     .     .       .
            BZD-short:suvorexant  0    0  0.53      .   0.53     .     .       .
             BZD-short:trazodone  0    0  0.34      .   0.34     .     .       .
          BZD-short:trimipramine  0    0  0.27      .   0.27     .     .       .
              BZD-short:zaleplon  0    0  0.62      .   0.62     .     .       .
              BZD-short:zolpidem  1 0.27  0.30  -0.04   0.43 -0.47 -2.77  0.0057
             BZD-short:zopiclone  1 0.09  0.24   0.26   0.23  0.03  0.09  0.9247
     daridorexant:diphenydramine  0    0 -0.26      .  -0.26     .     .       .
            daridorexant:doxepin  0    0  0.01      .   0.01     .     .       .
         daridorexant:doxylamine  0    0 -0.23      .  -0.23     .     .       .
        daridorexant:eszopiclone  0    0 -0.32      .  -0.32     .     .       .
        daridorexant:lemborexant  0    0 -0.14      .  -0.14     .     .       .
          daridorexant:melatonin  0    0  0.10      .   0.10     .     .       .
        daridorexant:mirtazapine  0    0 -0.71      .  -0.71     .     .       .
            daridorexant:placebo  3 0.95  0.27   0.26   0.66 -0.41 -1.75  0.0799
         daridorexant:quetiapine  0    0  0.22      .   0.22     .     .       .
          daridorexant:ramelteon  0    0  0.14      .   0.14     .     .       .
         daridorexant:suvorexant  0    0 -0.02      .  -0.02     .     .       .
          daridorexant:trazodone  0    0 -0.20      .  -0.20     .     .       .
       daridorexant:trimipramine  0    0 -0.27      .  -0.27     .     .       .
           daridorexant:zaleplon  0    0  0.07      .   0.07     .     .       .
           daridorexant:zolpidem  1 0.13 -0.25  -0.03  -0.28  0.25  1.47  0.1411
          daridorexant:zopiclone  0    0 -0.31      .  -0.31     .     .       .
          diphenydramine:doxepin  0    0  0.26      .   0.26     .     .       .
       diphenydramine:doxylamine  0    0  0.03      .   0.03     .     .       .
      diphenydramine:eszopiclone  0    0 -0.07      .  -0.07     .     .       .
      diphenydramine:lemborexant  0    0  0.12      .   0.12     .     .       .
        diphenydramine:melatonin  0    0  0.35      .   0.35     .     .       .
      diphenydramine:mirtazapine  0    0 -0.46      .  -0.46     .     .       .
          diphenydramine:placebo  1 1.00  0.53   0.53      .     .     .       .
       diphenydramine:quetiapine  0    0  0.48      .   0.48     .     .       .
        diphenydramine:ramelteon  0    0  0.39      .   0.39     .     .       .
       diphenydramine:suvorexant  0    0  0.24      .   0.24     .     .       .
        diphenydramine:trazodone  0    0  0.05      .   0.05     .     .       .
     diphenydramine:trimipramine  0    0 -0.02      .  -0.02     .     .       .
         diphenydramine:zaleplon  0    0  0.32      .   0.32     .     .       .
         diphenydramine:zolpidem  0    0  0.01      .   0.01     .     .       .
        diphenydramine:zopiclone  0    0 -0.06      .  -0.06     .     .       .
              doxepin:doxylamine  0    0 -0.24      .  -0.24     .     .       .
             doxepin:eszopiclone  0    0 -0.33      .  -0.33     .     .       .
             doxepin:lemborexant  0    0 -0.15      .  -0.15     .     .       .
               doxepin:melatonin  0    0  0.09      .   0.09     .     .       .
             doxepin:mirtazapine  0    0 -0.72      .  -0.72     .     .       .
                 doxepin:placebo  2 1.00  0.27   0.27      .     .     .       .
              doxepin:quetiapine  0    0  0.22      .   0.22     .     .       .
               doxepin:ramelteon  0    0  0.13      .   0.13     .     .       .
              doxepin:suvorexant  0    0 -0.03      .  -0.03     .     .       .
               doxepin:trazodone  0    0 -0.21      .  -0.21     .     .       .
            doxepin:trimipramine  0    0 -0.28      .  -0.28     .     .       .
                doxepin:zaleplon  0    0  0.06      .   0.06     .     .       .
                doxepin:zolpidem  0    0 -0.26      .  -0.26     .     .       .
               doxepin:zopiclone  0    0 -0.32      .  -0.32     .     .       .
          doxylamine:eszopiclone  0    0 -0.09      .  -0.09     .     .       .
          doxylamine:lemborexant  0    0  0.09      .   0.09     .     .       .
            doxylamine:melatonin  0    0  0.33      .   0.33     .     .       .
          doxylamine:mirtazapine  0    0 -0.48      .  -0.48     .     .       .
              doxylamine:placebo  1 0.73  0.50   0.60   0.25  0.35  1.33  0.1838
           doxylamine:quetiapine  0    0  0.45      .   0.45     .     .       .
            doxylamine:ramelteon  0    0  0.37      .   0.37     .     .       .
           doxylamine:suvorexant  0    0  0.21      .   0.21     .     .       .
            doxylamine:trazodone  0    0  0.03      .   0.03     .     .       .
         doxylamine:trimipramine  0    0 -0.04      .  -0.04     .     .       .
